"sources","layers"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1991"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1991.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1989"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1989.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1988"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1988.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1987"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv3.1987.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv2.any"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.2k.liv2.any.qu"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.inq.ctr.2k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.inq.ctr.5k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.inq.ctr.10k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.inq.igm.f100k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.inq.igm.f50k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.inq.igm.s25k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsctr","rt_ctr.inq.igm.q25k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.ctr10k.dxf"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.ctr10k.shp"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.ctr10kcl.tif"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.ctr10k.tif"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.ctr5k.tif"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.ctr2k.tif"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.ctr2k.dxf"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.ctr2k.dxf.vest"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.ctr2k.shp"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.ucsrt"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.topon.ctr10k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.geologia.carg"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.geologia.carg.raster"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.inqctr"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.dtm10m"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.lidar2k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.lidar2k.mattm"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.dbt.2k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.ofc2k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.topografica50k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.rete_ecologica50k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.sistemi_morfogenetici50k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.territori_urbanizzati50k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscartoteca","rt_cartoteca.caratteri_del_paesaggio50k"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","CASTORE_WMS"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_inghirami"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_quadri_unione"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_fogli"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_sviluppi"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmscastore","r_toscan_cst_nomi_di_comunita"
